Epoch,Loss,Acc,F1
5,2.8573,0.6643,0.331
10,0.6674,0.8282,0.4147
15,0.3283,0.8701,0.4962
20,0.2301,0.8989,0.5059
25,0.1906,0.9224,0.5368
30,0.1683,0.9207,0.544
35,0.1481,0.9294,0.5287
40,0.1313,0.9337,0.5521
45,0.122,0.9398,0.5606
50,0.1085,0.9442,0.5801
55,0.1025,0.9494,0.5938
60,0.093,0.973,0.7109
65,0.0839,0.9756,0.7106
70,0.0826,0.9756,0.7124
75,0.084,0.9747,0.7331
80,0.0687,0.9765,0.7352
85,0.0608,0.9765,0.7197
90,0.0563,0.9773,0.7486
95,0.0454,0.9773,0.731
100,0.0453,0.9765,0.7209
105,0.0462,0.9782,0.7318
110,0.0427,0.9791,0.7397
115,0.0387,0.9791,0.753
120,0.0387,0.9791,0.7462
125,0.0373,0.9782,0.7401
130,0.0499,0.9791,0.7396
135,0.0405,0.9799,0.7632
140,0.0343,0.9808,0.7554
145,0.0334,0.9799,0.755
150,0.0352,0.9791,0.7337
155,0.0324,0.9808,0.7475
160,0.0302,0.9817,0.7764
165,0.0285,0.9887,0.8222
170,0.0277,0.9878,0.8172
175,0.0239,0.9878,0.8272
180,0.0243,0.9895,0.8368
185,0.0221,0.9956,0.9083
190,0.0225,0.9956,0.8984
195,0.0224,0.9956,0.9083
200,0.0204,0.9956,0.9083
205,0.019,0.9956,0.9083
210,0.0176,0.9956,0.9083
215,0.0168,0.9956,0.9083
220,0.0163,0.9956,0.9083
225,0.0163,0.9956,0.9083
230,0.0153,0.9956,0.9083
235,0.0151,0.9956,0.9083
240,0.0146,0.9956,0.9083
245,0.0142,0.9956,0.9083
250,0.0143,0.9956,0.9083
255,0.0163,0.9956,0.9083
260,0.0159,0.9956,0.9083
265,0.0147,0.9956,0.9083
270,0.0154,0.9956,0.9083
275,0.0141,0.9956,0.9083
280,0.013,0.9956,0.9083
285,0.0132,0.9956,0.9083
290,0.0142,0.9956,0.9048
295,0.0136,0.9948,0.9073
300,0.0131,0.9939,0.9063
305,0.0296,0.9956,0.9083
310,0.013,0.9956,0.9083
315,0.0277,0.9956,0.9083
320,0.0123,0.9956,0.9083
325,0.0142,0.9956,0.9083
330,0.03,0.9956,0.9083
335,0.0118,0.9956,0.9083
340,0.0116,0.9956,0.9083
345,0.0119,0.9956,0.9083
350,0.0111,0.9956,0.9083
355,0.0108,0.9956,0.9083
360,0.0374,0.9956,0.9083
365,0.0144,0.9948,0.9073
370,0.012,0.9956,0.9083
375,0.0111,0.9956,0.9083
380,0.0103,0.9956,0.9083
385,0.0104,0.9956,0.9083
390,0.0088,0.9956,0.9083
395,0.0088,0.9956,0.9083
400,0.0099,0.9956,0.9083
405,0.0098,0.9956,0.9083
410,0.0093,0.9956,0.9083
415,0.0086,0.9956,0.9083
420,0.0077,0.9956,0.9083
425,0.0081,0.9956,0.9083
430,0.0078,0.9956,0.9083
435,0.0129,0.9956,0.9083
440,0.0074,0.9948,0.904
445,0.0075,0.9956,0.9083
450,0.0139,0.9956,0.9083
455,0.0076,0.9956,0.9083
460,0.0069,0.9956,0.9083
465,0.0065,0.9956,0.9083
470,0.0063,0.9956,0.9083
475,0.0062,0.9956,0.9083
480,0.0062,0.9956,0.9083
485,0.0059,0.9956,0.9083
490,0.0058,0.9956,0.9083
495,0.0057,0.9956,0.9083
500,0.0056,0.9956,0.9083
505,0.0054,0.9956,0.9083
510,0.0052,0.9956,0.9083
515,0.005,0.9956,0.9083
520,0.0051,0.9956,0.9083
525,0.0048,0.9956,0.9083
530,0.0046,0.9956,0.9083
535,0.0045,0.9956,0.9083
540,0.0042,0.9956,0.9083
545,0.0041,1.0,1.0
550,0.0037,1.0,1.0
555,0.0035,1.0,1.0
560,0.0032,1.0,1.0
565,0.0028,1.0,1.0
570,0.0023,1.0,1.0
575,0.0023,1.0,1.0
580,0.0017,1.0,1.0
585,0.0022,1.0,1.0
590,0.0016,0.9991,0.9984
595,0.0011,1.0,1.0
600,0.0008,0.9983,0.9842
605,0.0014,1.0,1.0
610,0.0005,1.0,1.0
615,0.0006,1.0,1.0
620,0.0005,1.0,1.0
625,0.0007,1.0,1.0
630,0.0005,1.0,1.0
635,0.0003,1.0,1.0
640,0.0002,1.0,1.0
645,0.0002,1.0,1.0
650,0.0005,1.0,1.0
655,0.0002,1.0,1.0
660,0.0001,1.0,1.0
665,0.0002,1.0,1.0
670,0.0002,1.0,1.0
675,0.0001,1.0,1.0
680,0.0002,1.0,1.0
685,0.0002,1.0,1.0
690,0.0001,1.0,1.0
695,0.0001,1.0,1.0
700,0.0001,1.0,1.0
705,0.0001,1.0,1.0
