Epoch,Loss,Acc,F1
5,2.1738,0.6554,0.3149
10,1.2336,0.6158,0.3162
15,0.8373,0.7839,0.374
20,0.4743,0.8418,0.3803
25,0.314,0.8912,0.4971
30,0.2114,0.9124,0.5215
35,0.1687,0.952,0.6338
40,0.1199,0.9647,0.6913
45,0.0894,0.9703,0.7131
50,0.0805,0.9845,0.8232
55,0.0726,0.9831,0.81
60,0.0604,0.9873,0.8297
65,0.0443,0.9915,0.8401
70,0.0383,0.9915,0.8382
75,0.0356,0.9929,0.8418
80,0.0267,0.9915,0.8383
85,0.0225,0.9915,0.8383
90,0.0209,0.9929,0.8418
95,0.0193,0.9929,0.8418
100,0.0174,0.9929,0.8418
105,0.0178,0.9929,0.8418
110,0.0164,0.9929,0.8418
115,0.0157,0.9929,0.8418
120,0.0152,0.9929,0.8418
125,0.0149,0.9929,0.8418
130,0.0142,0.9929,0.8418
135,0.014,0.9929,0.8418
140,0.0132,0.9929,0.8418
145,0.0128,0.9929,0.8418
150,0.0122,0.9929,0.8418
155,0.0118,0.9929,0.8418
160,0.0117,0.9929,0.8418
165,0.0106,0.9929,0.8418
170,0.0098,0.9929,0.8418
175,0.0093,0.9958,0.9215
180,0.0091,0.9958,0.9215
185,0.0077,0.9958,0.9215
190,0.007,0.9958,0.9215
195,0.0063,0.9972,0.9605
200,0.0055,0.9972,0.9605
205,0.0045,1.0,1.0
210,0.0037,1.0,1.0
215,0.0033,1.0,1.0
220,0.0024,1.0,1.0
225,0.0017,1.0,1.0
230,0.0037,1.0,1.0
235,0.001,1.0,1.0
240,0.0008,1.0,1.0
245,0.0008,1.0,1.0
250,0.0004,1.0,1.0
255,0.0005,1.0,1.0
260,0.0003,1.0,1.0
265,0.0002,1.0,1.0
270,0.0002,1.0,1.0
275,0.0002,1.0,1.0
280,0.0002,1.0,1.0
285,0.0002,1.0,1.0
290,0.0001,1.0,1.0
295,0.0001,1.0,1.0
300,0.0002,1.0,1.0
305,0.0002,1.0,1.0
310,0.0002,1.0,1.0
315,0.0001,1.0,1.0
320,0.0001,1.0,1.0
325,0.0001,1.0,1.0
330,0.0001,1.0,1.0
335,0.0001,1.0,1.0
340,0.0001,1.0,1.0
345,0.0002,1.0,1.0
350,0.0001,1.0,1.0
355,0.0001,1.0,1.0
360,0.0001,1.0,1.0
365,0.0001,1.0,1.0
370,0.0001,1.0,1.0
375,0.0001,1.0,1.0
380,0.0001,1.0,1.0
385,0.0002,1.0,1.0
390,0.0001,1.0,1.0
395,0.0001,1.0,1.0
400,0.0001,1.0,1.0
405,0.0001,1.0,1.0
410,0.0001,1.0,1.0
415,0.0001,1.0,1.0
420,0.0001,1.0,1.0
425,0.0001,1.0,1.0
430,0.0001,1.0,1.0
435,0.0001,1.0,1.0
440,0.0,1.0,1.0
445,0.0001,1.0,1.0
450,0.0001,1.0,1.0
455,0.0001,1.0,1.0
460,0.0,1.0,1.0
465,0.0,1.0,1.0
470,0.0,1.0,1.0
475,0.0001,1.0,1.0
480,0.0,1.0,1.0
485,0.0,1.0,1.0
490,0.0001,1.0,1.0
495,0.0,1.0,1.0
500,0.0001,1.0,1.0
505,0.0,1.0,1.0
510,0.0,1.0,1.0
515,0.0,1.0,1.0
520,0.0,1.0,1.0
525,0.0,1.0,1.0
530,0.0,1.0,1.0
535,0.0,1.0,1.0
540,0.0,1.0,1.0
545,0.0,1.0,1.0
550,0.0,1.0,1.0
555,0.0,1.0,1.0
560,0.0,1.0,1.0
565,0.0,1.0,1.0
570,0.0,1.0,1.0
575,0.0,1.0,1.0
580,0.0,1.0,1.0
585,0.0,1.0,1.0
590,0.0,1.0,1.0
595,0.0,1.0,1.0
600,0.0,1.0,1.0
605,0.0,1.0,1.0
610,0.0,1.0,1.0
615,0.0,1.0,1.0
620,0.0,1.0,1.0
625,0.0,1.0,1.0
630,0.0,1.0,1.0
635,0.0,1.0,1.0
640,0.0,1.0,1.0
645,0.0,1.0,1.0
650,0.0,1.0,1.0
655,0.0,1.0,1.0
660,0.0,1.0,1.0
665,0.0,1.0,1.0
670,0.0,1.0,1.0
675,0.0,1.0,1.0
680,0.0,1.0,1.0
