Epoch,Loss,Acc,F1
5,4.7427,0.4407,0.178
10,1.7969,0.4336,0.2673
15,1.1327,0.5777,0.2932
20,0.917,0.6794,0.3419
25,0.6328,0.8263,0.4055
30,0.511,0.8503,0.4237
35,0.4329,0.8616,0.4522
40,0.3585,0.8743,0.4639
45,0.319,0.8927,0.5516
50,0.2561,0.8955,0.5851
55,0.2175,0.9068,0.6275
60,0.2034,0.911,0.6385
65,0.1918,0.9153,0.639
70,0.1684,0.9209,0.6577
75,0.1415,0.9223,0.661
80,0.1238,0.928,0.6796
85,0.1197,0.9661,0.7316
90,0.1018,0.9703,0.7745
95,0.0811,0.9718,0.7478
100,0.069,0.9831,0.8233
105,0.0587,0.9859,0.8115
110,0.051,0.9873,0.8193
115,0.0378,0.9901,0.8331
120,0.0326,0.9901,0.8399
125,0.0287,0.9915,0.838
130,0.0291,0.9929,0.8407
135,0.0253,0.9915,0.8403
140,0.024,0.9915,0.8403
145,0.0232,0.9915,0.8403
150,0.0252,0.9915,0.8403
155,0.0234,0.9915,0.8403
160,0.0223,0.9929,0.8407
165,0.0229,0.9929,0.8407
170,0.0216,0.9929,0.8407
175,0.0202,0.9929,0.8407
180,0.0204,0.9929,0.8407
185,0.0208,0.9929,0.8407
190,0.0237,0.9929,0.8407
195,0.02,0.9929,0.8407
200,0.0214,0.9929,0.8407
205,0.0198,0.9929,0.8407
210,0.021,0.9929,0.8407
215,0.0218,0.9929,0.8407
220,0.0202,0.9929,0.8407
225,0.0206,0.9859,0.8246
230,0.0235,0.9915,0.8403
235,0.0223,0.9901,0.8399
240,0.0232,0.9901,0.837
245,0.0201,0.9929,0.8407
250,0.034,0.9915,0.8396
255,0.0234,0.9929,0.8407
260,0.0217,0.9929,0.8409
265,0.0192,0.9929,0.8407
270,0.0231,0.9929,0.8407
275,0.0193,0.9929,0.8407
280,0.021,0.9929,0.8407
285,0.0197,0.9929,0.8407
290,0.0178,0.9929,0.8407
295,0.018,0.9929,0.8414
300,0.018,0.9929,0.8414
305,0.018,0.9929,0.8414
310,0.0188,0.9929,0.8414
315,0.0178,0.9929,0.8414
320,0.0172,0.9929,0.8414
325,0.017,0.9929,0.8414
330,0.0171,0.9929,0.8439
335,0.0172,0.9929,0.8439
340,0.0171,0.9929,0.8439
345,0.0168,0.9929,0.8439
350,0.0166,0.9929,0.8439
355,0.0168,0.9929,0.8439
360,0.0165,0.9929,0.8439
365,0.0167,0.9929,0.8439
370,0.0168,0.9929,0.8439
375,0.0163,0.9929,0.8439
380,0.0166,0.9929,0.8439
385,0.0163,0.9929,0.8439
390,0.0164,0.9929,0.8439
395,0.0165,0.9929,0.8439
400,0.0161,0.9929,0.8439
405,0.0159,0.9929,0.8439
410,0.0158,0.9929,0.8439
415,0.0157,0.9929,0.8439
420,0.0169,0.9929,0.8439
425,0.0156,0.9929,0.8439
430,0.0156,0.9929,0.8439
435,0.0156,0.9929,0.8439
440,0.0157,0.9929,0.8439
445,0.0153,0.9929,0.8439
450,0.0153,0.9929,0.8439
455,0.0151,0.9929,0.8439
460,0.0152,0.9929,0.8439
465,0.015,0.9929,0.8439
470,0.0151,0.9929,0.8439
475,0.015,0.9929,0.8439
480,0.0151,0.9929,0.8439
485,0.0148,0.9929,0.8439
490,0.0147,0.9929,0.8439
495,0.0146,0.9929,0.8439
500,0.0145,0.9929,0.8439
505,0.0144,0.9929,0.8439
510,0.0148,0.9929,0.8439
515,0.0142,0.9929,0.8439
520,0.0142,0.9929,0.8439
525,0.0141,0.9929,0.8439
530,0.0141,0.9929,0.8439
535,0.0139,0.9929,0.8439
540,0.0139,0.9958,0.8901
545,0.0139,0.9958,0.8901
550,0.0136,0.9958,0.8901
555,0.014,0.9958,0.8901
560,0.0137,0.9958,0.8901
565,0.0133,0.9958,0.8901
570,0.0133,0.9958,0.8901
575,0.0131,0.9958,0.8901
580,0.0131,0.9958,0.8901
585,0.0129,0.9958,0.8901
590,0.0128,0.9958,0.8901
595,0.0127,0.9958,0.8901
600,0.0126,0.9958,0.8901
605,0.0124,0.9958,0.8901
610,0.0122,0.9958,0.8901
615,0.0121,0.9958,0.8901
620,0.012,0.9958,0.8901
625,0.0116,0.9958,0.8901
630,0.0114,0.9958,0.8901
635,0.0113,0.9958,0.8901
640,0.011,0.9958,0.8901
645,0.011,0.9958,0.8901
650,0.0111,0.9958,0.8901
655,0.0108,0.9958,0.8901
660,0.0126,0.9958,0.8901
665,0.0107,0.9958,0.8901
670,0.0107,0.9958,0.8901
675,0.0107,0.9958,0.8901
680,0.0108,0.9958,0.8901
685,0.0106,0.9958,0.8901
690,0.0106,0.9958,0.8901
695,0.0106,0.9958,0.8901
700,0.0109,0.9958,0.8901
705,0.0105,0.9958,0.8901
710,0.0105,0.9958,0.8901
715,0.0105,0.9958,0.8901
720,0.0105,0.9958,0.8901
725,0.0105,0.9958,0.8901
730,0.0104,0.9958,0.8901
735,0.0104,0.9958,0.8901
740,0.0108,0.9958,0.8901
745,0.0104,0.9958,0.8901
750,0.0103,0.9958,0.8901
755,0.0105,0.9958,0.8901
760,0.0103,0.9958,0.8901
765,0.0111,0.9958,0.8901
770,0.0228,0.9944,0.8888
775,0.0172,0.9929,0.8871
780,0.0172,0.9958,0.8966
785,0.0158,0.9944,0.8814
790,0.0204,0.9929,0.8884
795,0.015,0.9873,0.8624
800,0.0218,0.9958,0.8901
805,0.0126,0.9944,0.8859
810,0.016,0.9944,0.8897
815,0.0116,0.9944,0.8865
820,0.0202,0.9958,0.8901
825,0.0234,0.9958,0.8901
830,0.011,0.9958,0.8901
835,0.0118,0.9958,0.8901
840,0.0108,0.9958,0.8901
845,0.0105,0.9958,0.8901
850,0.0128,0.9958,0.8901
855,0.0189,0.9958,0.8901
860,0.0107,0.9929,0.889
865,0.0267,0.9915,0.8885
870,0.0494,0.9958,0.8901
875,0.0131,0.9958,0.8901
880,0.0131,0.9944,0.8896
885,0.013,0.9958,0.8901
890,0.0132,0.9887,0.8773
895,0.0157,0.9944,0.889
900,0.0105,0.9958,0.8901
905,0.0222,0.9944,0.9054
910,0.0143,0.9901,0.9024
915,0.0116,0.9929,0.9001
920,0.0081,0.9944,0.92
925,0.0084,0.9944,0.919
930,0.0067,0.9958,0.9205
935,0.0058,0.9958,0.9205
940,0.0057,0.9958,0.9205
945,0.005,1.0,1.0
950,0.0052,1.0,1.0
955,0.0043,1.0,1.0
960,0.0021,1.0,1.0
965,0.0019,1.0,1.0
970,0.0011,1.0,1.0
975,0.001,1.0,1.0
980,0.0008,1.0,1.0
985,0.0004,1.0,1.0
990,0.0005,1.0,1.0
995,0.0025,1.0,1.0
1000,0.0003,1.0,1.0
