Epoch,Loss,Acc,F1
5,9.3598,0.4936,0.1477
10,1.8559,0.6154,0.2711
15,0.8526,0.7637,0.3472
20,0.6279,0.8193,0.397
25,0.5097,0.8526,0.4386
30,0.3975,0.8882,0.5004
35,0.3138,0.9106,0.5701
40,0.2461,0.9339,0.6238
45,0.183,0.9516,0.633
50,0.134,0.9717,0.71
55,0.0971,0.9754,0.715
60,0.0705,0.979,0.7613
65,0.0499,0.9863,0.834
70,0.0336,0.9932,0.9231
75,0.023,0.9977,0.9918
80,0.0166,0.9982,0.9896
85,0.0104,0.9991,0.9964
90,0.007,1.0,1.0
95,0.0051,1.0,1.0
100,0.0036,1.0,1.0
105,0.0026,1.0,1.0
110,0.0024,1.0,1.0
115,0.0015,1.0,1.0
120,0.0014,1.0,1.0
125,0.0016,1.0,1.0
130,0.001,1.0,1.0
135,0.0025,1.0,1.0
140,0.0028,1.0,1.0
145,0.0009,1.0,1.0
150,0.0009,1.0,1.0
155,0.0007,1.0,1.0
160,0.0006,1.0,1.0
165,0.0005,1.0,1.0
170,0.0005,1.0,1.0
175,0.0004,1.0,1.0
180,0.0004,1.0,1.0
185,0.0004,1.0,1.0
190,0.0003,1.0,1.0
195,0.0003,1.0,1.0
200,0.0003,1.0,1.0
205,0.0003,1.0,1.0
210,0.0003,1.0,1.0
215,0.0002,1.0,1.0
220,0.0003,1.0,1.0
225,0.0002,1.0,1.0
230,0.0002,1.0,1.0
235,0.0002,1.0,1.0
240,0.0002,1.0,1.0
245,0.0002,1.0,1.0
250,0.0001,1.0,1.0
255,0.0002,1.0,1.0
260,0.0001,1.0,1.0
265,0.0002,1.0,1.0
270,0.0001,1.0,1.0
275,0.0001,1.0,1.0
280,0.0001,1.0,1.0
285,0.0001,1.0,1.0
290,0.0001,1.0,1.0
295,0.0001,1.0,1.0
300,0.0001,1.0,1.0
305,0.0001,1.0,1.0
310,0.0001,1.0,1.0
315,0.0001,1.0,1.0
320,0.0001,1.0,1.0
325,0.0001,1.0,1.0
330,0.0001,1.0,1.0
335,0.0001,1.0,1.0
340,0.0001,1.0,1.0
345,0.0001,1.0,1.0
350,0.0001,1.0,1.0
355,0.0001,1.0,1.0
360,0.0001,1.0,1.0
365,0.0001,1.0,1.0
370,0.0001,1.0,1.0
375,0.0001,1.0,1.0
380,0.0001,1.0,1.0
385,0.0001,1.0,1.0
390,0.0,1.0,1.0
395,0.0001,1.0,1.0
400,0.0001,1.0,1.0
405,0.0001,1.0,1.0
410,0.0001,1.0,1.0
415,0.0001,1.0,1.0
420,0.0001,1.0,1.0
425,0.0,1.0,1.0
430,0.0,1.0,1.0
435,0.0,1.0,1.0
440,0.0001,1.0,1.0
445,0.0001,1.0,1.0
450,0.0001,1.0,1.0
455,0.0001,1.0,1.0
460,0.0001,1.0,1.0
465,0.0,1.0,1.0
470,0.0,1.0,1.0
