Epoch,Loss,Acc,F1
5,7.5302,0.5132,0.2093
10,2.1502,0.4142,0.2058
15,2.3296,0.3558,0.1461
20,2.1199,0.4398,0.1639
25,1.7965,0.5036,0.2005
30,1.4291,0.5579,0.2253
35,1.2664,0.5958,0.2435
40,1.1446,0.6282,0.2543
45,0.9918,0.6474,0.2598
50,0.9336,0.6578,0.2647
55,0.8348,0.6866,0.2743
60,0.7535,0.7144,0.286
65,0.6674,0.7459,0.298
70,0.5887,0.7724,0.3064
75,0.5338,0.7915,0.3137
80,0.4791,0.8116,0.3179
85,0.4441,0.8175,0.3206
90,0.4134,0.8285,0.324
95,0.3944,0.8385,0.3292
100,0.377,0.8431,0.3397
105,0.3669,0.8517,0.3558
110,0.3517,0.8572,0.3756
115,0.331,0.8599,0.3815
120,0.3217,0.8682,0.3887
125,0.3133,0.8668,0.4015
130,0.3008,0.8686,0.4046
135,0.2944,0.8691,0.396
140,0.2941,0.8732,0.404
145,0.2838,0.8736,0.4071
150,0.2794,0.8759,0.4122
155,0.2774,0.8777,0.4108
160,0.2735,0.8745,0.4132
165,0.2654,0.8759,0.412
170,0.2656,0.8736,0.4099
175,0.2643,0.8809,0.4133
180,0.2575,0.8782,0.4114
185,0.2559,0.8782,0.4126
190,0.2516,0.8823,0.4283
195,0.2482,0.8837,0.4191
200,0.2502,0.8837,0.4241
205,0.2425,0.8974,0.4608
210,0.2412,0.8983,0.4548
215,0.2368,0.9224,0.5071
220,0.2357,0.9165,0.4995
225,0.2299,0.9261,0.5147
230,0.2285,0.9256,0.5168
235,0.2275,0.9293,0.5157
240,0.223,0.9293,0.5203
245,0.2256,0.937,0.5216
250,0.2247,0.9316,0.5213
255,0.2178,0.937,0.5248
260,0.2183,0.9366,0.5256
265,0.214,0.9352,0.5237
270,0.2142,0.9375,0.5233
275,0.2144,0.9361,0.5232
280,0.2049,0.9398,0.5244
285,0.2035,0.937,0.5264
290,0.1997,0.9398,0.5261
295,0.1967,0.9361,0.525
300,0.1935,0.938,0.5265
305,0.193,0.9411,0.5272
310,0.1901,0.9393,0.5256
315,0.1885,0.9411,0.5271
320,0.1861,0.9389,0.5252
325,0.1878,0.9361,0.5257
330,0.1887,0.9425,0.5274
335,0.1838,0.9407,0.5275
340,0.1845,0.9416,0.5269
345,0.184,0.9407,0.5273
350,0.1805,0.9398,0.5265
355,0.1805,0.9402,0.5268
360,0.1784,0.9434,0.5283
365,0.1824,0.9407,0.5266
370,0.1784,0.9411,0.5266
375,0.1785,0.9407,0.5268
380,0.1771,0.9407,0.5271
