Epoch,Loss,Acc,F1
5,3.7043,0.3672,0.0864
10,1.6627,0.5579,0.168
15,1.3222,0.6008,0.2011
20,1.0637,0.662,0.2087
25,0.9081,0.6936,0.2242
30,0.6998,0.7953,0.304
35,0.5679,0.8607,0.3766
40,0.4575,0.8811,0.4094
45,0.3908,0.892,0.43
50,0.3482,0.905,0.4675
55,0.3165,0.918,0.4901
60,0.2891,0.9275,0.4987
65,0.2736,0.9335,0.5068
70,0.2572,0.9342,0.5009
75,0.2425,0.9384,0.5107
80,0.232,0.942,0.5154
85,0.2164,0.942,0.5152
90,0.2038,0.9437,0.5177
95,0.1915,0.9462,0.5201
100,0.1805,0.9483,0.5255
105,0.169,0.949,0.5279
110,0.1581,0.9497,0.5308
115,0.1392,0.9536,0.5729
120,0.1279,0.955,0.5717
125,0.1175,0.9571,0.5803
130,0.1064,0.9578,0.5925
135,0.1035,0.9599,0.6124
140,0.095,0.9613,0.6221
145,0.0877,0.962,0.6463
150,0.0853,0.9694,0.6904
155,0.0766,0.9764,0.7129
160,0.0738,0.9764,0.7113
165,0.0654,0.9807,0.7186
170,0.0605,0.9807,0.7235
175,0.0567,0.9817,0.7224
180,0.0582,0.9821,0.7247
185,0.0527,0.9824,0.7331
190,0.0501,0.9838,0.74
195,0.0484,0.9835,0.7322
200,0.0454,0.9835,0.7417
205,0.0418,0.9842,0.7458
210,0.0394,0.9838,0.7431
215,0.0354,0.9894,0.8545
220,0.0333,0.9894,0.86
225,0.0313,0.9887,0.8549
230,0.0303,0.9852,0.8494
235,0.0365,0.9905,0.8696
240,0.0275,0.9902,0.8592
245,0.0253,0.9909,0.8708
250,0.0255,0.9912,0.8649
255,0.0238,0.9912,0.8692
260,0.0223,0.9909,0.8718
265,0.0209,0.9916,0.8738
270,0.0209,0.993,0.8871
275,0.0188,0.9916,0.8732
280,0.016,0.9947,0.9021
285,0.0153,0.9947,0.902
290,0.0151,0.994,0.8913
295,0.013,0.9954,0.9114
300,0.0149,0.9958,0.9144
305,0.0115,0.9958,0.917
310,0.0137,0.9965,0.9201
315,0.0101,0.9958,0.9205
320,0.0094,0.9968,0.9229
325,0.0079,0.9961,0.9215
330,0.0083,0.9958,0.9196
335,0.0111,0.9965,0.9229
340,0.0078,0.9965,0.9239
345,0.0113,0.9968,0.9229
350,0.0063,0.9972,0.9546
355,0.0075,0.9968,0.923
360,0.0062,0.9982,0.9819
365,0.0058,0.9965,0.9226
370,0.0054,0.9982,0.9819
375,0.005,0.9982,0.9811
380,0.0057,0.9986,0.9857
385,0.0044,0.9986,0.9872
390,0.0062,0.9986,0.9964
395,0.0054,0.9989,0.9966
400,0.0031,0.9989,0.9966
405,0.0039,0.9989,0.9966
410,0.0091,0.9986,0.9965
415,0.0022,0.9989,0.9966
420,0.0024,0.9993,0.9976
425,0.0038,0.9993,0.9976
430,0.0034,0.9996,0.9986
435,0.0043,0.9996,0.9986
440,0.0032,0.9996,0.9986
445,0.0017,0.9996,0.9986
450,0.0045,0.9996,0.9986
455,0.0022,0.9996,0.9986
460,0.004,0.9996,0.9986
465,0.0019,0.9996,0.9986
470,0.0014,0.9996,0.9986
475,0.0009,0.9996,0.9986
480,0.0009,0.9996,0.9986
485,0.0015,0.9996,0.9986
490,0.0023,0.9996,0.9986
495,0.0008,0.9996,0.9986
500,0.0009,0.9996,0.9986
505,0.0011,0.9996,0.9986
510,0.0014,0.9996,0.9986
515,0.0035,0.9996,0.9986
520,0.0013,0.9996,0.9986
525,0.0017,0.9996,0.9986
530,0.0016,0.9996,0.9986
535,0.0007,0.9996,0.9986
540,0.0013,0.9996,0.9986
545,0.0008,0.9996,0.9986
550,0.0019,0.9996,0.9986
555,0.002,0.9996,0.9986
560,0.0013,0.9996,0.9986
565,0.001,0.9996,0.9986
570,0.0008,0.9996,0.9986
575,0.0008,0.9996,0.9986
580,0.0006,0.9996,0.9986
585,0.0005,0.9996,0.9986
590,0.0012,0.9996,0.9986
595,0.0013,0.9996,0.9986
600,0.002,0.9996,0.9986
605,0.0007,0.9996,0.9986
610,0.0009,0.9996,0.9986
615,0.0014,0.9996,0.9986
620,0.0006,0.9996,0.9986
625,0.0005,0.9996,0.9986
630,0.0006,0.9996,0.9986
635,0.0025,0.9996,0.9986
640,0.0031,0.9996,0.9986
645,0.0009,0.9996,0.9986
650,0.0009,0.9996,0.9986
655,0.0006,0.9996,0.9986
660,0.0008,0.9996,0.9986
665,0.0011,0.9996,0.9986
670,0.0004,0.9996,0.9986
675,0.0019,0.9996,0.9986
680,0.0007,0.9996,0.9986
685,0.0008,0.9996,0.9986
690,0.0005,0.9996,0.9986
695,0.001,0.9996,0.9986
700,0.0019,0.9996,0.9986
705,0.0015,0.9996,0.9986
710,0.0007,0.9996,0.9986
715,0.0004,0.9996,0.9986
720,0.0023,0.9996,0.9986
725,0.0024,0.9996,0.9986
730,0.0006,0.9996,0.9986
735,0.001,0.9996,0.9986
740,0.0018,0.9996,0.9986
745,0.0007,0.9996,0.9986
750,0.0008,0.9989,0.9984
755,0.001,0.9996,0.9986
760,0.0022,0.9996,0.9986
765,0.0011,0.9996,0.9986
770,0.0008,0.9996,0.9986
775,0.0005,0.9996,0.9986
780,0.0011,0.9996,0.9986
785,0.0006,0.9996,0.9986
790,0.0012,0.9996,0.9986
795,0.0012,0.9996,0.9986
800,0.0019,0.9986,0.9978
805,0.0008,0.9993,0.9963
810,0.0123,0.9989,0.9925
815,0.0044,0.9986,0.9859
820,0.0054,0.9986,0.9981
825,0.0048,0.9986,0.9956
830,0.0146,0.9979,0.994
835,0.0138,0.9972,0.9944
840,0.0111,0.9972,0.9912
845,0.0392,0.9961,0.9842
850,0.028,0.9961,0.9803
855,0.0193,0.9944,0.9697
860,0.0092,0.9979,0.9805
865,0.0071,0.9982,0.983
870,0.0093,0.9986,0.9876
875,0.0076,0.9986,0.989
880,0.0052,0.9982,0.9819
885,0.0053,0.9989,0.9886
890,0.0028,0.9993,0.9892
895,0.0032,0.9996,0.9986
900,0.002,0.9996,0.9986
905,0.0028,0.9996,0.9986
910,0.0014,0.9993,0.9978
915,0.0032,0.9996,0.9986
920,0.0031,0.9996,0.9986
925,0.0016,0.9996,0.9986
930,0.0012,0.9996,0.9986
