Epoch,Loss,Acc,F1
5,9.5096,0.6064,0.1987
10,4.1099,0.6279,0.2643
15,1.6511,0.6173,0.2634
20,1.178,0.649,0.2872
25,0.961,0.6919,0.2947
30,0.7492,0.7777,0.3059
35,0.6576,0.7949,0.3141
40,0.5615,0.8122,0.3319
45,0.4857,0.8329,0.3875
50,0.4302,0.8572,0.4308
55,0.388,0.8762,0.4497
60,0.3484,0.8881,0.4672
65,0.3238,0.8987,0.4767
70,0.2979,0.9019,0.4805
75,0.2758,0.9085,0.4864
80,0.26,0.9128,0.4926
85,0.2448,0.9163,0.4948
90,0.2332,0.9191,0.497
95,0.2163,0.936,0.5497
100,0.2124,0.9395,0.5521
105,0.2071,0.9399,0.5534
110,0.2008,0.9427,0.5662
115,0.1927,0.9434,0.5851
120,0.1847,0.9441,0.5893
125,0.1799,0.9462,0.5933
130,0.1748,0.9476,0.5948
135,0.1702,0.9462,0.5943
140,0.1659,0.9501,0.6021
145,0.1619,0.9518,0.6028
150,0.1585,0.9525,0.6026
155,0.1523,0.9529,0.6265
160,0.1502,0.956,0.6461
165,0.1418,0.9581,0.6486
170,0.1383,0.9617,0.6615
175,0.1343,0.9613,0.6532
180,0.1304,0.9627,0.6606
185,0.1284,0.9652,0.6686
190,0.1243,0.9631,0.6518
195,0.1205,0.9666,0.6817
200,0.1153,0.9666,0.678
205,0.1127,0.968,0.6834
210,0.1078,0.968,0.6807
215,0.1062,0.9701,0.6811
220,0.1013,0.9705,0.6769
225,0.0958,0.9712,0.6906
230,0.0925,0.9729,0.6925
235,0.0906,0.9719,0.6846
240,0.0855,0.9729,0.684
245,0.0817,0.9733,0.6864
250,0.0806,0.9747,0.6952
255,0.0797,0.975,0.7435
260,0.0736,0.9775,0.7571
265,0.0693,0.9761,0.7553
270,0.0654,0.9792,0.7742
275,0.0637,0.98,0.7792
280,0.0623,0.9803,0.7874
285,0.0583,0.9807,0.7775
290,0.0561,0.9807,0.7817
295,0.0544,0.9807,0.7836
300,0.0526,0.9814,0.7853
305,0.0519,0.9814,0.7892
310,0.0474,0.9842,0.8185
315,0.0442,0.9838,0.8365
320,0.0416,0.9845,0.8349
325,0.0406,0.9856,0.8546
330,0.0394,0.9849,0.8671
335,0.0383,0.9849,0.8591
340,0.0377,0.9866,0.8645
345,0.036,0.9866,0.8644
350,0.0347,0.9877,0.8675
355,0.0344,0.988,0.8956
360,0.0347,0.9873,0.8676
365,0.0333,0.988,0.8688
370,0.0308,0.988,0.8955
375,0.0312,0.9884,0.903
380,0.0332,0.9831,0.8727
385,0.0356,0.9894,0.9158
390,0.0293,0.9898,0.9093
395,0.0289,0.9905,0.9141
400,0.0274,0.9905,0.9198
405,0.027,0.9909,0.89
410,0.0243,0.9919,0.927
415,0.0232,0.9916,0.9244
420,0.0244,0.9916,0.9209
425,0.0225,0.9912,0.9252
430,0.0238,0.9923,0.9276
435,0.0206,0.9916,0.9263
440,0.0201,0.9919,0.9227
445,0.0193,0.993,0.9453
450,0.0199,0.9926,0.949
455,0.0183,0.9933,0.9505
460,0.0175,0.9944,0.953
465,0.0186,0.994,0.9514
470,0.0167,0.994,0.9533
475,0.0173,0.994,0.9478
480,0.0165,0.9947,0.9651
485,0.0158,0.9947,0.9643
490,0.0176,0.9944,0.9627
495,0.0152,0.9951,0.9644
500,0.0168,0.9947,0.9652
505,0.0157,0.9951,0.9656
510,0.0164,0.9951,0.966
515,0.016,0.9951,0.9644
520,0.0136,0.9954,0.9671
525,0.0134,0.9958,0.9698
530,0.0137,0.9954,0.9669
535,0.0132,0.9951,0.9657
540,0.0139,0.9947,0.9648
545,0.0134,0.9951,0.9677
550,0.0121,0.9958,0.9674
555,0.012,0.9954,0.9666
560,0.0119,0.9954,0.9659
565,0.0132,0.9958,0.9688
570,0.0123,0.9954,0.968
575,0.012,0.9958,0.9699
580,0.0124,0.9954,0.9667
585,0.0124,0.9958,0.9673
590,0.0116,0.9958,0.9688
595,0.0123,0.9954,0.9632
600,0.0114,0.9961,0.971
605,0.0113,0.9958,0.9688
610,0.0115,0.9954,0.9661
615,0.0127,0.9954,0.9659
620,0.0119,0.9961,0.971
625,0.0115,0.9961,0.971
630,0.0118,0.9954,0.9659
635,0.0112,0.9961,0.971
640,0.0106,0.9961,0.9717
645,0.0111,0.9965,0.9734
650,0.0114,0.9954,0.9666
655,0.0113,0.9954,0.9659
660,0.0115,0.9961,0.971
665,0.011,0.9961,0.971
670,0.0105,0.9958,0.9673
675,0.011,0.9961,0.971
680,0.0121,0.9961,0.971
685,0.0112,0.9954,0.9656
690,0.011,0.9954,0.9659
695,0.0105,0.9954,0.9661
700,0.0109,0.9961,0.971
705,0.0113,0.9961,0.9707
710,0.0106,0.9961,0.9707
715,0.0105,0.9961,0.9699
720,0.0102,0.9961,0.971
725,0.0113,0.9965,0.9724
730,0.0102,0.9958,0.9692
735,0.0107,0.9961,0.971
740,0.0112,0.9961,0.971
745,0.0107,0.9961,0.9709
750,0.0104,0.9965,0.9734
755,0.0093,0.9968,0.9764
760,0.0101,0.9965,0.9734
765,0.0117,0.9961,0.9674
770,0.0101,0.9958,0.9645
775,0.0098,0.9968,0.9751
780,0.0097,0.9965,0.9734
785,0.0106,0.9965,0.9716
790,0.0102,0.9968,0.9741
795,0.0095,0.9965,0.9716
800,0.0101,0.9965,0.9712
805,0.0118,0.9937,0.9585
810,0.0114,0.9968,0.9752
815,0.0114,0.9968,0.9725
820,0.011,0.9961,0.9685
825,0.0124,0.9968,0.9735
830,0.0228,0.9937,0.963
835,0.0141,0.9951,0.9545
840,0.0123,0.9947,0.9673
845,0.014,0.9968,0.9749
850,0.0129,0.9958,0.9695
855,0.0138,0.9961,0.9729
860,0.0146,0.9972,0.9777
865,0.0148,0.9965,0.973
870,0.0124,0.9951,0.9654
875,0.0122,0.9972,0.9763
880,0.0105,0.9975,0.978
885,0.0105,0.9975,0.9795
890,0.012,0.9979,0.9802
895,0.01,0.9975,0.9798
900,0.0085,0.9982,0.9817
905,0.0084,0.9982,0.9824
910,0.0076,0.9979,0.9802
915,0.0085,0.9982,0.9817
920,0.0072,0.9986,0.991
925,0.0081,0.9986,0.991
930,0.0063,0.9986,0.991
935,0.0062,0.9986,0.991
940,0.0063,0.9986,0.991
945,0.0048,0.9986,0.991
950,0.005,0.9982,0.9895
955,0.0047,0.9982,0.9895
960,0.0054,0.9986,0.991
965,0.005,0.9986,0.991
970,0.005,0.9986,0.991
975,0.0049,0.9986,0.991
980,0.0042,0.9986,0.991
985,0.0046,0.9986,0.991
990,0.005,0.9986,0.991
995,0.0044,0.9989,0.994
1000,0.0043,0.9989,0.9939
